vessel_name,mmsi,timestamp,lat,lon,speed,heading
MV Nordic Trader,235012345,2026-09-16 12:15:00,55.0145,13.0140,12.5,45.0
MV Nordic Trader,235012345,2026-09-16 12:30:00,55.0160,13.0165,12.8,48.0
Tanker Blue Star,211890123,2026-09-16 08:00:00,55.0100,13.0080,14.0,90.0
Tanker Blue Star,211890123,2026-09-16 12:12:00,55.0118,13.0115,13.5,88.0
Cargo Wave,316019876,2026-09-16 12:00:00,55.0450,13.0550,10.2,120.0
Cargo Wave,316019876,2026-09-16 12:45:00,55.0480,13.0600,10.5,122.0
Ocean Star,412001122,2026-09-16 11:30:00,54.9800,12.9700,15.1,30.0
Ocean Star,412001122,2026-09-16 12:30:00,54.9950,12.9850,15.0,32.0
Container Express,538009988,2026-09-16 12:10:00,55.0300,13.0300,18.0,210.0
Container Express,538009988,2026-09-16 12:40:00,55.0200,13.0200,17.8,208.0
Tug Samson,232114455,2026-09-16 12:20:00,55.0080,13.0050,6.0,15.0
Tug Samson,232114455,2026-09-16 12:50:00,55.0095,13.0070,6.2,18.0
Fishery Horizon,227099111,2026-09-16 12:00:00,55.0600,13.0800,4.5,300.0
Fishery Horizon,227099111,2026-09-16 12:35:00,55.0620,13.0780,4.2,295.0
Bulk Titan,636015544,2026-09-16 11:45:00,55.0250,13.0400,11.0,75.0
Bulk Titan,636015544,2026-09-16 12:25:00,55.0290,13.0480,11.2,78.0
Chemical Voyager,255801234,2026-09-16 12:05:00,54.9900,13.0100,13.2,135.0
Chemical Voyager,255801234,2026-09-16 12:40:00,54.9820,13.0220,13.0,138.0
